comX;comY;triangles;projected area;visible area;symmetry;visble edges
-0,239577;0,6653168;0,2884551;0,4522586;0,4383075;0,1766627;0,004179139
-0,3096354;0,6653166;0,2786987;0,07330874;0,4234826;0,008072955;0,01130144
-0,239577;0,6653167;0,135279;0,452583;0,4404783;0,1561829;0,008333173
-2,980232E-08;0,6653168;0,006000002;0,5409166;0,01302429;0,679617;0,01123192
0,2395769;0,6653167;0,1827682;0,4522586;0,6347801;0,1561141;0,004179139
0,3096354;0,6653168;0,2786987;0,07330874;0,4234826;0,008072955;0,009499623
0,2395769;0,6653168;0,2432743;0,452583;0,6336947;0,1765626;0,0048821
2,980232E-08;1,255332;0,9159002;0,7160619;0,3976316;1;0,007871613
-0,3197323;0,9456969;0,3249401;0,5589232;0,4232113;0,5163022;0,005909503
-0,4229923;0,9456969;0,2786987;0,07924142;0,4234826;0,3762641;0,0103397
-0,3197324;0,9456967;0,1506454;0,559124;0,4251107;0,4768897;0,005411251
-2,980232E-08;0,9456967;0,001249999;0,7160619;0,002170713;0,9965319;0,01022769
0,3197324;0,9456969;0,1506454;0,5589232;0,4251107;0,4758129;0,005909503
0,4229923;0,9456969;0,2786987;0,07924142;0,4234826;0,3762641;0,007887063
0,3197323;0,9456969;0,3249401;0,559124;0,4232113;0,5160844;0
